company,country,genre,name,rating,runtime,score,votes,year
40 Acres & A Mule Filmworks,USA,Comedy,She's Gotta Have It,R,84,6.6,5257,1986
Touchstone Pictures,USA,Comedy,Ruthless People,R,93,6.9,22554,1986
Delphi V Productions,USA,Action,Band of the Hand,R,109,6.3,2297,1986
Cannon Group,USA,Crime,52 Pick-Up,R,110,6.4,3866,1986
Paramount Pictures,USA,Drama,Children of a Lesser God,R,119,7.2,12538,1986
Columbia Pictures Corporation,USA,Action,Armed and Dangerous,PG-13,88,5.6,9040,1986
Black Snake,USA,Comedy,Down by Law,R,107,7.8,39456,1986
Orion Pictures,USA,Action,F/X,R,109,6.7,14502,1986
Fuji Television Network,Japan,Adventure,The Adventures of Milo and Otis,G,90,7.1,9178,1986
Religioso Primitiva,USA,Comedy,Something Wild,R,114,6.9,13186,1986
Gladden Entertainment,USA,Sci-Fi,The Manhattan Project,PG-13,117,6.1,4666,1986
Paramount Pictures,USA,Horror,April Fool's Day,R,89,6.2,11458,1986
Brooksfilms,USA,Action,Solarbabies,PG-13,94,4.8,3397,1986
Kings Road Entertainment,USA,Comedy,The Big Easy,R,102,6.6,10022,1986
Lawrence Gordon Productions,USA,Comedy,Jumpin' Jack Flash,R,105,5.8,15703,1986
Carthago Films S.a.r.l.,France,Adventure,Piratas,PG-13,121,6.1,6596,1986
Meltdown Productions,UK,Animation,When the Wind Blows,Not specified,80,7.8,7900,1986
Touchstone Pictures,USA,Comedy,Tough Guys,PG,104,6.2,5584,1986
Compañía Iberoamericana de TV,Spain,Drama,Matador,NC-17,110,7,8959,1986
New World Pictures,USA,Action,Black Moon Rising,R,100,5.4,4045,1986
Cinema Group Ventures,USA,Comedy,The Best of Times,PG-13,104,5.9,5523,1986
Paragon Arts International,UK,Horror,Witchboard,R,98,5.7,4744,1986
Touchstone Pictures,USA,Comedy,Down and Out in Beverly Hills,R,103,6.1,13569,1986
Capital Equipment Leasing,UK,Biography,Lady Jane,PG-13,136,7.2,5364,1986
Columbia Pictures Corporation,USA,Crime,Quicksilver,PG,105,5.6,3720,1986
Sunbow Productions,USA,Animation,My Little Pony: The Movie,G,86,6,2125,1986
Virgin Vision,UK,Horror,Gothic,R,87,5.7,5843,1986
Producers Sales Organization (PSO),USA,Action,8 Million Ways to Die,R,115,5.7,3607,1986
TriStar Pictures,USA,Crime,No Mercy,R,106,5.7,5564,1986
Orion Pictures,USA,Comedy,Haunted Honeymoon,PG,82,5.6,5549,1986
Empire Pictures,USA,Comedy,TerrorVision,R,83,5.7,4620,1986
Golan-Globus Productions,USA,Action,Allan Quatermain and the Lost City of Gold,PG,99,4.4,7491,1986
HandMade Films,UK,Crime,Mona Lisa,R,104,7.4,10747,1986
Delphi Films,USA,Comedy,Nothing in Common,PG,118,5.9,5345,1986
Cannon Group,USA,Action,Firewalker,PG,104,5,4752,1986
Cannon Screen Entertainment,UK,Adventure,Castaway,R,117,6,2649,1986
Amaretto Films,USA,Comedy,Vamp,R,93,5.9,3909,1986
British Film Institute (BFI),UK,Biography,Caravaggio,Not specified,93,6.7,4072,1986
Les Films Plain Chant,France,Crime,Mauvais Sang,UNRATED,116,7.3,4922,1986
Paramount Pictures,USA,Drama,Fire with Fire,PG-13,103,6.6,1264,1986
Warner Bros.,USA,Comedy,Club Paradise,PG-13,96,4.9,5049,1986
Universal Pictures,USA,Comedy,Legal Eagles,PG,116,5.9,8374,1986
Thorn EMI Screen Entertainment,UK,Comedy,Clockwise,PG,96,6.6,9689,1986
Atlantic Entertainment Group,USA,Drama,Extremities,R,89,6.3,2705,1986
Metro-Goldwyn-Mayer (MGM),USA,Comedy,Wise Guys,R,100,5.6,4573,1986
Atlantic Entertainment Group,USA,Drama,The Men's Club,R,101,4.5,680,1986
DD Productions,Switzerland,Drama,Jean de Florette,PG,120,8.1,20914,1986
Balcor Film Investors,USA,Drama,Reform School Girls,R,94,5.2,1717,1986
DD Productions,Switzerland,Drama,Manon of the Spring,PG,113,8,17849,1986
HandMade Films,UK,Adventure,Shanghai Surprise,PG-13,97,3.1,4339,1986
Lorimar Productions,USA,Drama,Power,R,111,5.7,2287,1986
Not specified,USA,Comedy,Modern Girls,PG-13,84,5.9,1023,1986
De Laurentiis Entertainment Group (DEG),USA,Comedy,Crimes of the Heart,PG-13,105,6.4,3079,1986
Cinema VII,USA,Horror,Nomads,R,91,5.5,3006,1986
Empire Pictures,USA,Action,Eliminators,PG,96,4.5,1422,1986
TMS Pictures,Canada,Comedy,Meatballs III: Summer Job,R,96,3.3,2003,1986
Golan-Globus Productions,USA,Action,Murphy's Law,R,100,5.9,3561,1986
Edward R. Pressman Film,USA,Musical,True Stories,PG,90,7,3885,1986
Warner Bros.,USA,Comedy,Under the Cherry Moon,PG-13,98,4.9,2549,1986
Delphi V Productions,Israel,Drama,Every Time We Say Goodbye,PG-13,95,5.9,1834,1986
Goldcrest Films International,UK,Drama,Absolute Beginners,PG-13,108,5.6,2659,1986
Little Bear,USA,Drama,'Round Midnight,R,133,7.4,4028,1986
"Cannon Group, The",USA,Action,Avenging Force,R,104,5.9,1808,1986
