company,country,genre,name,rating,runtime,score,votes,year
Touchstone Pictures,USA,Comedy,My Boyfriend's Back,PG-13,85,5.4,3667,1993
New Line Cinema,USA,Comedy,Even Cowgirls Get the Blues,R,95,4.3,6381,1993
Artimm,USA,Adventure,Weekend at Bernie's II,PG,97,4.6,11036,1993
Outlaw Productions (I),Canada,Comedy,Indian Summer,PG-13,97,6.5,4338,1993
Metro-Goldwyn-Mayer (MGM),USA,Comedy,Fatal Instinct,PG-13,91,5.7,5807,1993
Hanna-Barbera Productions,UK,Animation,Once Upon a Forest,G,71,6.5,4131,1993
Touchstone Pictures,USA,Comedy,Life with Mikey,PG,91,5.5,4691,1993
Metro-Goldwyn-Mayer (MGM),USA,Comedy,Undercover Blues,PG-13,90,6,6516,1993
Richard Williams Productions,UK,Animation,The Thief and the Cobbler,G,72,7.1,2780,1993
Metro-Goldwyn-Mayer (MGM),USA,Action,The Meteor Man,PG,100,5,5627,1993
Imagine Films Entertainment,USA,Comedy,Cop & ½,PG,97,3.9,7406,1993
Trimark Pictures,USA,Fantasy,Warlock: The Armageddon,R,98,5.3,4275,1993
Wildwood Enterprises,USA,Drama,King of the Hill,PG-13,103,7.6,6291,1993
New Line Cinema,USA,Action,Mr. Nanny,PG,84,3.6,7914,1993
Island World,USA,Drama,A Dangerous Woman,R,102,5.9,1327,1993
Film Workshop,Hong Kong,Action,Iron Monkey,PG-13,90,7.6,13830,1993
Road Movies Filmproduktion,Germany,Drama,"Faraway, So Close!",PG-13,144,7.3,6278,1993
"Movie Group, The",USA,Action,Best of the Best II,R,101,5.4,4469,1993
Walt Disney Pictures,USA,Adventure,A Far Off Place,PG,100,6.6,2952,1993
Castle Rock Entertainment,USA,Adventure,Josh and S.A.M.,PG-13,96,5.8,1253,1993
Rastar Productions,USA,Drama,Mr. Jones,R,114,5.8,5931,1993
Trimark Pictures,USA,Crime,Deadfall,R,98,3.7,2376,1993
New Line Cinema,USA,Crime,Blink,R,106,6.2,6770,1993
Ang Lee Productions,Taiwan,Comedy,The Wedding Banquet,R,106,7.7,11573,1993
Beacon Communications,USA,Drama,Sugar Hill,R,123,5.9,3376,1993
New Line Cinema,USA,Comedy,Man's Best Friend,R,87,5.1,3256,1993
Nordisk Film,Denmark,Drama,The Slingshot,R,102,6.5,1686,1993
PolyGram Filmed Entertainment,UK,Western,Posse,R,111,5.5,3422,1993
British Broadcasting Corporation (BBC),France,Crime,The Advocate,R,100,6.8,1663,1993
Touchstone Pictures,USA,Action,Another Stakeout,PG-13,108,5.5,11561,1993
New Horizons Picture,USA,Horror,Carnosaur,R,83,3.5,3208,1993
Hollywood Pictures,USA,Drama,Aspen Extreme,PG-13,113,5.8,2414,1993
Twentieth Century Fox Film Corporation,USA,Horror,Ghost in the Machine,R,95,4.4,2839,1993
Filmauro,Italy,Comedy,Son of the Pink Panther,PG,93,3.8,4105,1993
A&M; Films,Italy,Drama,House of Cards,PG-13,100,6.3,2301,1993
Golden Harvest Company,Hong Kong,Action,Crime Story,R,107,6.8,4566,1993
Renn Productions,France,Drama,Germinal,R,160,7.1,3759,1993
Cecchi Gori Europa N.V.,Italy,Drama,Dangerous Game,R,108,5.7,3022,1993
A&M; Films,USA,Biography,A Home of Our Own,PG,104,7.1,2416,1993
Hollywood Pictures,USA,Comedy,Father Hood,PG-13,95,4.8,2440,1993
Prominent Features,UK,Comedy,Splitting Heirs,PG-13,87,5.5,3515,1993
Krasnow Productions,USA,Family,The Nutcracker,G,92,5.8,1280,1993
Permut Presentations,USA,Comedy,Money for Nothing,R,100,5.7,3306,1993
Miramax,USA,Drama,Mother's Boys,R,96,5.4,2570,1993
American Playhouse,UK,Drama,Ethan Frome,PG,99,6.3,1798,1993
Belbo Films,France,Drama,Silent Tongue,PG-13,102,5.3,922,1993
Castle Rock Entertainment,USA,Comedy,Amos & Andrew,PG-13,96,5.6,7566,1993
DENTSU Music And Entertainment,Japan,Drama,Maadadayo,Not specified,134,7.4,4081,1993
Hollywood Pictures,USA,Crime,Guilty as Sin,R,107,5.6,3881,1993
Bregman/Baer Productions,USA,Crime,The Real McCoy,PG-13,105,5.5,7143,1993
Night Life Inc.,USA,Comedy,Mr. Wonderful,PG-13,98,5.9,2743,1993
Some Film,USA,Comedy,Naked in New York,R,95,5.7,1393,1993
Twentieth Century Fox Film Corporation,USA,Drama,Jack the Bear,PG-13,99,6.5,3451,1993
Channel 4,UK,Biography,Blue,Not specified,79,7.2,1414,1993
StudioCanal,USA,Action,Boiling Point,R,92,4.9,4831,1993
John Aaron Features II Inc.,Canada,Romance,For the Moment,PG-13,100,6.3,821,1993
Deutsche Film (DEFA),Germany,Drama,The Innocent,R,119,5.7,1319,1993
Channel Four Films,UK,Drama,Raining Stones,NOT RATED,90,7.5,3399,1993
Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC),Cuba,Comedy,Strawberry and Chocolate,R,108,7.5,4563,1993
Columbia Pictures Corporation,USA,Comedy,Lost in Yonkers,PG,114,6.7,2180,1993
Incorporated Television Company (ITC),USA,Comedy,Fear of a Black Hat,R,88,7.2,3462,1993
Joco,USA,Drama,The Ballad of Little Jo,R,100,6.8,1211,1993
De Passe Entertainment,USA,Comedy,Who's the Man?,R,100,5.5,1519,1993
Hollywood Pictures,USA,Comedy,Born Yesterday,PG,100,5.1,3296,1993
Davis Entertainment,USA,Action,Gunmen,R,94,5.2,2861,1993
Warner Bros.,USA,Drama,Wrestling Ernest Hemingway,PG-13,123,7.1,2547,1993
Blurco,USA,Comedy,Totally F***ed Up,UNRATED,78,6.1,2164,1993
Baltimore Pictures,USA,Comedy,Wilder Napalm,PG-13,109,5.5,1349,1993
Parkway Productions,USA,Drama,Calendar Girl,PG-13,90,5,1901,1993
Fine Line Features,USA,Drama,"Bodies, Rest & Motion",R,95,5.6,2008,1993
Les Productions Lazennec,France,Drama,The Scent of Green Papaya,NOT RATED,104,7.4,6642,1993
Golden Harvest Company,Hong Kong,Action,Once Upon a Time in China III,R,109,6.8,5426,1993
Republic Pictures (II),USA,Horror,Witchboard 2,R,98,5,1178,1993
Channel Four Films,USA,Drama,Sankofa,Not specified,100,7.1,456,1993
Price Entertainment,USA,Comedy,Hexed,R,100,5.5,1313,1993
Sacher Film,Italy,Biography,Caro diario,UNRATED,100,7.3,5831,1993
Dove Audio,USA,Drama,Morning Glory,PG-13,96,6.6,315,1993
New Line Cinema,USA,Comedy,Three of Hearts,R,100,5.5,1699,1993
Island World,USA,Comedy,Watch It,R,102,6.4,505,1993
Trimark Pictures,USA,Action,Philadelphia Experiment II,PG-13,97,4.5,1526,1993
Beijing Film Studio,China,Drama,El papalote azul,Not specified,100,7.7,2170,1993
Atlantis Films,Canada,Drama,Love & Human Remains,R,100,6.7,2248,1993
Carrie Productions Inc.,USA,Drama,The Saint of Fort Washington,R,100,7.2,2027,1993
Full Crew/Say Yea,USA,Drama,Ruby in Paradise,R,114,7.1,2137,1993
Castle Rock Entertainment,USA,Crime,The Shawshank Redemption,R,142,9.3,1861666,1994
Miramax,USA,Crime,Pulp Fiction,R,154,8.9,1456787,1994
Paramount Pictures,USA,Comedy,Forrest Gump,PG-13,142,8.8,1402876,1994
Gaumont,France,Crime,Léon: The Professional,R,110,8.6,806235,1994
Walt Disney Pictures,USA,Animation,The Lion King,G,88,8.5,723070,1994
Geffen Pictures,USA,Drama,Interview with the Vampire: The Vampire Chronicles,R,123,7.6,255095,1994
The Mark Gordon Company,USA,Action,Speed,R,116,7.2,279357,1994
Universal Pictures,USA,Comedy,The Little Rascals,PG,82,6.3,36665,1994
PolyGram Filmed Entertainment,UK,Comedy,Four Weddings and a Funeral,R,117,7.1,115440,1994
New Line Cinema,USA,Comedy,The Mask,PG-13,101,6.9,286352,1994
New Line Cinema,USA,Comedy,Dumb and Dumber,PG-13,107,7.3,306934,1994
Warner Bros.,USA,Crime,Natural Born Killers,R,118,7.3,185627,1994
TriStar Pictures,USA,Drama,Legends of the Fall,R,133,7.5,121453,1994
Canal+,France,Action,Stargate: la puerta del tiempo,PG-13,116,7.1,156375,1994
Twentieth Century Fox Film Corporation,USA,Action,True Lies,R,141,7.2,202934,1994
Crowvision Inc.,USA,Action,The Crow,R,102,7.6,144969,1994
Morgan Creek Productions,USA,Comedy,Ace Ventura: Pet Detective,PG-13,86,6.9,232964,1994
Warner Bros.,USA,Adventure,Wyatt Earp,PG-13,191,6.7,38101,1994
Universal Pictures,USA,Comedy,The Flintstones,PG,91,4.8,64538,1994
Avnet/Kerner Productions,USA,Comedy,D2: The Mighty Ducks,PG,106,6,30231,1994
Jersey Films,USA,Comedy,Reality Bites,PG-13,99,6.6,38652,1994
Paramount Pictures,USA,Action,Star Trek: Generations,PG,118,6.6,64703,1994
Touchstone Pictures,USA,Biography,Ed Wood,R,127,7.9,149166,1994
New Line Cinema,USA,Fantasy,New Nightmare,R,112,6.4,41464,1994
View Askew Productions,USA,Comedy,Clerks,R,92,7.8,190615,1994
TriStar Pictures,USA,Drama,Mary Shelley's Frankenstein,R,123,6.4,44892,1994
Mace Neufeld Productions,USA,Action,Clear and Present Danger,PG-13,141,6.9,74328,1994
Columbia Pictures Corporation,USA,Drama,Little Women,PG,115,7.3,39288,1994
Warner Bros.,USA,Comedy,Ri¢hie Ri¢h,PG,95,5.3,53644,1994
Genre Pictures,USA,Comedy,Texas Chainsaw Massacre: The Next Generation,R,95,3.2,16202,1994
Twentieth Century Fox Film Corporation,USA,Adventure,Baby's Day Out,PG,99,6,36625,1994
Capcom Entertainment,Japan,Action,Street Fighter,PG-13,102,3.8,56055,1994
Warner Bros.,USA,Comedy,Little Giants,PG,107,6.3,21057,1994
Twentieth Century Fox Film Corporation,USA,Comedy,Airheads,PG-13,92,6.1,40298,1994
PolyGram Filmed Entertainment,Australia,Comedy,"Las aventuras de Priscilla, reina del desierto",R,104,7.5,39500,1994
WingNut Films,New Zealand,Biography,Criaturas celestiales,R,99,7.4,52852,1994
New Line Cinema,USA,Fantasy,In the Mouth of Madness,R,95,7.2,47554,1994
Egg Pictures,USA,Drama,Nell,PG-13,112,6.5,23973,1994
Warner Bros.,USA,Crime,The Client,PG-13,119,6.7,49609,1994
Donner/Shuler-Donner Productions,USA,Action,Maverick,PG,127,7,88132,1994
Walt Disney Pictures,USA,Comedy,The Santa Clause,PG,97,6.4,71963,1994
Paramount Pictures,USA,Drama,Blue Chips,PG-13,108,6.1,10150,1994
Touchstone Pictures,France,Comedy,My Father the Hero,PG,90,5.4,9254,1994
Jet Tone Production,Hong Kong,Crime,Chungking Express,PG-13,102,8.1,45500,1994
Warner Bros.,Peru,Action,The Specialist,R,110,5.5,53868,1994
Walt Disney Pictures,USA,Comedy,Blank Check,PG,93,5.2,15449,1994
Cinergi Pictures Entertainment,USA,Comedy,Renaissance Man,PG-13,128,6.1,14657,1994
Vegahom Europe,USA,Adventure,El Libro de la Selva,PG,111,6,14034,1994
CiBy 2000,Australia,Comedy,La boda de Muriel,R,106,7.2,29720,1994
Caravan Pictures,USA,Comedy,Angels in the Outfield,PG,102,6.1,23966,1994
Paramount Pictures,USA,Action,Beverly Hills Cop III,R,104,5.5,64891,1994
Baltimore Pictures,USA,Biography,Quiz Show,PG-13,133,7.5,57114,1994
Warner Bros.,USA,Drama,Disclosure,R,128,6,39139,1994
Communicado Productions,New Zealand,Crime,Somos guerreros,R,102,7.9,27093,1994
New Line Cinema,USA,Comedy,"Corrina, Corrina",PG,115,6.5,10650,1994
Columbia Pictures Corporation,USA,Drama,Wolf,R,125,6.2,46095,1994
Paramount Pictures,USA,Comedy,Naked Gun 33 1/3: The Final Insult,PG-13,83,6.5,82374,1994
Twentieth Century Fox Film Corporation,USA,Romance,Bad Girls,R,99,5.1,10190,1994
Twentieth Century Fox Film Corporation,USA,Animation,The Pagemaster,G,80,6,17391,1994
PolyGram Filmed Entertainment,UK,Comedy,The Hudsucker Proxy,PG,111,7.3,68649,1994
Cinergi Pictures Entertainment,USA,Mystery,Color of Night,R,121,5.1,19835,1994
Universal Pictures,USA,Action,The River Wild,PG-13,111,6.3,35146,1994
Twentieth Century Fox Film Corporation,USA,Comedy,PCU,PG-13,79,6.6,10934,1994
MK2 Productions,Switzerland,Drama,Three Colors: Red,R,99,8.1,69096,1994
New Line Cinema,USA,Comedy,Don Juan DeMarco,PG-13,97,6.7,43444,1994
Hollywood Pictures,USA,Adventure,Camp Nowhere,PG,96,5.9,7684,1994
Golden Harvest Company,Hong Kong,Action,The Legend of Drunken Master,R,102,7.6,37144,1994
Universal Pictures,USA,Comedy,Junior,PG-13,109,4.6,56919,1994
Largo Entertainment,Canada,Action,Timecop: Policía del futuro,R,99,5.8,47553,1994
TriStar Pictures,USA,Comedy,Only You,PG,115,6.5,16746,1994
Imagine Films Entertainment,USA,Comedy,My Girl 2,PG,99,5.2,15940,1994
Nest Family Entertainment,USA,Animation,The Swan Princess,G,100,6.4,18972,1994
Warner Bros.,USA,Comedy,Major League II,PG,105,5.5,21665,1994
New Line Cinema,USA,Crime,Above the Rim,R,96,6.6,11508,1994
Universal Pictures,USA,Action,The Getaway,R,115,5.7,14913,1994
TriStar Pictures,USA,Comedy,It Could Happen to You,PG,101,6.3,29594,1994
Icon Entertainment International,UK,Biography,Immortal Beloved,R,121,7.5,20038,1994
Etalon Film,USA,Comedy,Ready to Wear,R,133,5,12985,1994
Incorporated Television Company (ITC),UK,Crime,The Last Seduction,R,110,7.1,17307,1994
Touchstone Pictures,USA,Drama,When a Man Loves a Woman,R,126,6.5,17718,1994
Alliance Entertainment,Canada,Drama,Exótica,R,103,7.2,15366,1994
Seagal/Nasso Productions,USA,Action,On Deadly Ground,R,101,4.4,19210,1994
Savoy Pictures,USA,Comedy,Exit to Eden,R,113,4.1,5798,1994
Motion Picture Corporation of America (MPCA),USA,Comedy,Threesome,R,89,6.2,11407,1994
New Line Cinema,USA,Action,Surviving the Game,R,96,6.1,8846,1994
Channel Four Films,UK,Crime,Shallow Grave,R,89,7.3,49100,1994
Universal Pictures,USA,Comedy,Crooklyn,PG-13,115,6.9,6583,1994
Heathrow Productions,USA,Drama,Blue Sky,PG-13,101,6.4,5683,1994
Columbia Pictures Corporation,USA,Action,The Next Karate Kid,PG,107,4.3,20024,1994
Metro-Goldwyn-Mayer (MGM),USA,Action,Blown Away,R,121,6.2,24421,1994
Hollywood Pictures,USA,Horror,The Puppet Masters,R,109,5.9,7281,1994
Don Bluth,Ireland,Animation,Pulgarcita,G,100,6.4,12483,1994
Twentieth Century Fox Film Corporation,USA,Family,Miracle on 34th Street,PG,114,6.4,24126,1994
Universal Pictures,USA,Action,The Shadow,PG-13,108,6,19958,1994
Morgan Creek Productions,USA,Comedy,Chasers,R,102,5,4804,1994
Renn Productions,France,Biography,Queen Margot,R,159,7.5,14377,1994
Miramax,USA,Comedy,Bullets Over Broadway,R,98,7.5,31237,1994
Hollywood Pictures,USA,Comedy,In the Army Now,PG,91,4.8,10622,1994
Savoy Pictures,USA,Comedy,Serial Mom,R,95,6.7,22529,1994
MK2 Productions,Switzerland,Comedy,Three Colors: White,R,91,7.7,48877,1994
Warner Bros.,USA,Adventure,Black Beauty,G,88,6.6,7810,1994
Spring Creek Productions,USA,Comedy,With Honors,PG-13,103,6.7,11565,1994
Castle Rock Entertainment,USA,Adventure,North,PG,87,4.4,11852,1994
Columbia Pictures Corporation,USA,Action,No Escape,R,118,6.1,16576,1994
Island World,USA,Drama,The War,PG-13,126,6.7,10752,1994
Cecchi Gori Group Tiger Cinematografica,Italy,Biography,Il Postino,PG,108,7.7,27999,1994
Capella International,USA,Comedy,Nobody's Fool,R,110,7.4,15759,1994
Admire Productions Ltd.,Canada,Comedy,Brainscan,R,96,6.1,8826,1994
"Samuel Goldwyn Company, The",UK,Biography,The Madness of King George,PG-13,104,7.2,12850,1994
Touchstone Pictures,USA,Comedy,It's Pat: The Movie,PG-13,77,2.6,8844,1994
Lumière Pictures,USA,Crime,Fresh,R,114,7.6,10327,1994
Paramount Pictures,USA,Comedy,Milk Money,PG-13,110,5.5,9880,1994
Paramount Pictures,USA,Adventure,Andre,PG,100,5.7,5543,1994
Beacon Communications,USA,Comedy,The Road to Wellville,R,118,5.8,10226,1994
Touchstone Pictures,USA,Comedy,The Ref,R,96,6.9,20548,1994
Jersey Films,USA,Biography,8 Seconds,PG-13,105,6.5,4037,1994
Ang Lee Productions,Taiwan,Comedy,Eat Drink Man Woman,UNRATED,124,7.8,14947,1994
Capitol Films,USA,Action,The Chase,PG-13,100,5.8,15239,1994
Warner Bros.,USA,Comedy,Police Academy: Mission to Moscow,PG,83,3.3,26638,1994
Caravan Pictures,USA,Action,A Low Down Dirty Shame,R,100,5.9,4331,1994
Greenleaf Productions,USA,Action,Double Dragon,PG-13,96,3.7,9200,1994
Buckeye Films,USA,Comedy,Spanking the Monkey,UNRATED,100,6.3,5363,1994
Fine Line Features,UK,Drama,Death and the Maiden,R,103,7.3,18786,1994
Aleph Producciones S.A.,Argentina,Drama,De amor y de sombras,R,100,5.1,1592,1994
Castle Rock Entertainment,USA,Comedy,City Slickers II: The Legend of Curly's Gold,PG-13,116,5.5,15982,1994
Paramount Pictures,USA,Comedy,I.Q.,PG,100,6.2,20930,1994
"Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)",USA,Comedy,Clifford,PG,90,5.3,5807,1994
Don Bluth,Ireland,Animation,A Troll in Central Park,G,76,5.4,4914,1994
Imagine Entertainment,USA,Action,The Cowboy Way,PG-13,102,5.8,6634,1994
Imagine Entertainment,USA,Comedy,Greedy,PG-13,113,6.2,11022,1994
Castle Rock Entertainment,USA,Comedy,Little Big League,PG,119,6.1,8249,1994
Ben-Ami/Leeds Productions,USA,Family,3 Ninjas Kick Back,PG,93,4.4,7189,1994
TriStar Pictures,USA,Comedy,Mixed Nuts,PG-13,97,5.4,8563,1994
Cineville,USA,Comedy,Swimming with Sharks,R,93,7.1,20003,1994
Paramount Pictures,USA,Action,Drop Zone,R,101,5.6,16774,1994
21st Century Film Corporation,USA,Action,Death Wish V: The Face of Death,R,95,4.7,5329,1994
"Jackson/McHenry Company,The",USA,Crime,Jason's Lyric,R,120,6.6,2838,1994
Paramount Pictures,USA,Drama,Intersection,R,98,5.2,6432,1994
New Line Cinema,Japan,Adventure,Mi adorable delincuente,PG,96,5.3,5382,1994
Walt Disney Pictures,USA,Adventure,Iron Will,PG,108,6.5,6113,1994
Audifilm,Italy,Comedy,Cemetery Man,R,105,7.3,17110,1994
Lightning Ridge,USA,Comedy,Lightning Jack,PG-13,98,5.4,5541,1994
Hollywood Pictures,USA,Action,Terminal Velocity,PG-13,102,5.4,11352,1994
Fallingcloud,Canada,Action,Highlander: The Final Dimension,PG-13,99,4.3,17307,1994
Aim,Republic of Macedonia,Drama,Before the Rain,NOT RATED,113,8.1,11967,1994
ERA International,China,Drama,To Live,NOT RATED,133,8.3,12705,1994
Universal Pictures,USA,Comedy,The Paper,R,112,6.6,11123,1994
Touchstone Pictures,USA,Adventure,Cabin Boy,PG-13,80,5.1,7171,1994
August Entertainment,USA,Comedy,Sleep with Me,R,86,5.7,2233,1994
Caméra One,Russia,Drama,Burnt by the Sun,R,135,8,11998,1994
British Screen Productions,UK,Drama,Sister My Sister,R,100,6.9,2712,1994
Mulholland Productions,USA,Comedy,Love Affair,PG-13,108,5.9,3922,1994
Columbia Pictures Corporation,USA,Comedy,I Like It Like That,R,104,6.8,1290,1994
Metro-Goldwyn-Mayer (MGM),USA,Comedy,Getting Even with Dad,PG,109,4.6,6383,1994
Carolco Pictures,USA,Adventure,Wagons East,PG-13,107,4.7,4191,1994
Caravan Pictures,USA,Action,I Love Trouble,PG,123,5.2,10145,1994
"Hudlin Brothers, The",USA,Comedy,House Party 3,R,100,4.1,2684,1994
Planet Productions,USA,Comedy,Leprechaun 2,R,85,4.4,6778,1994
Columbia Pictures Corporation,USA,Comedy,Blankman,PG-13,92,4.8,7048,1994
Entertainment Film Distributors,UK,Action,Death Machine,R,99,5.7,3032,1994
British Broadcasting Corporation (BBC),UK,Drama,Priest,R,105,7.1,8634,1994
First Look International,USA,Comedy,Trading Mom,PG,100,5.5,1451,1994
Channel Four Films,UK,Biography,Backbeat,R,100,6.7,5047,1994
Jet Tone Production,Hong Kong,Action,Ashes of Time,R,100,7.2,10951,1994
Santo Domingo Film & Music Video,USA,Comedy,The Scout,PG-13,101,5.3,5255,1994
Jones Entertainment Group,USA,Drama,The Secret of Roan Inish,PG,103,7.5,6305,1994
TriStar Pictures,USA,Comedy,Cops and Robbersons,PG,93,5,5507,1994
Fine Line Features,USA,Biography,Mrs. Parker and the Vicious Circle,R,125,6.4,3789,1994
Enigma Productions,UK,Adventure,War of the Buttons,PG,94,7.5,3452,1994
Channel Films,USA,Comedy,Guarding Tess,PG-13,96,6.2,13526,1994
Tig Productions,USA,Crime,China Moon,R,99,6.2,4508,1994
Warner Bros.,UK,Comedy,Being Human,PG-13,122,5.4,3439,1994
Cecchi Gori Group Tiger Cinematografica,Italy,Crime,A Pure Formality,PG-13,108,7.8,7749,1994
Hollywood Pictures,USA,Comedy,The Air Up There,PG,107,5.5,7663,1994
Majestic Films International,USA,Action,Rapa Nui,R,107,6.4,4075,1994
Permut Presentations,USA,Adventure,Trapped in Paradise,PG-13,111,5.9,10599,1994
Fine Line Features,USA,Crime,Little Odessa,R,98,6.8,6076,1994
Nelson Entertainment,USA,Comedy,The Favor,R,97,5.3,2201,1994
Polygram Filmed Entertainment,USA,Comedy,S.F.W.,R,96,5.9,4242,1994
Forge,USA,Comedy,Speechless,PG-13,99,5.7,4298,1994
Alcor Films,USA,Biography,Cobb,R,128,6.5,6227,1994
Metro-Goldwyn-Mayer (MGM),USA,Comedy,It Runs in the Family,PG,85,5.7,1234,1994
Broadway Pictures,USA,Family,Lassie,PG,94,5.9,4198,1994
Stéphan Films,France,Biography,Farinelli,R,111,6.9,5412,1994
Touchstone Pictures,USA,Drama,A Simple Twist of Fate,PG-13,106,6.3,4420,1994
American Playhouse,USA,Comedy,Amateur,R,105,7,4804,1994
Kouf/Bigelow Productions,USA,Drama,Silent Fall,R,100,5.9,3114,1994
CiBy 2000,France,Crime,The Glass Shield,PG-13,109,6.6,2960,1994
Barcelona Films,USA,Comedy,Barcelona,PG-13,101,7,4843,1994
Nelson Entertainment,USA,Comedy,There Goes My Baby,R,99,6.4,902,1994
Walt Disney Pictures,USA,Adventure,White Fang 2: Myth of the White Wolf,PG,100,5.4,1764,1994
Bay Kinescope,UK,Drama,Oleanna,NOT RATED,89,6.7,2499,1994
Baltimore Pictures,USA,Crime,Jimmy Hollywood,R,112,5.3,2702,1994
Ardican Films,UK,Comedy,Princess Caraboo,PG,97,6,2187,1994
Columbia Pictures Corporation,USA,Comedy,I'll Do Anything,PG-13,115,5.6,2180,1994
Universal Pictures,USA,Comedy,Radioland Murders,PG,108,6.2,2920,1994
Acme Films Ltd.,USA,Horror,Mosquito,R,92,4.6,1715,1994
Australian Film Finance Corporation (AFFC),Australia,Comedy,The Sum of Us,R,100,7.4,4544,1994
Percy Main,UK,Drama,The Browning Version,R,97,7.3,2624,1994
Caravan Pictures,USA,Comedy,Angie,R,107,5.4,1838,1994
Channel Four Films,USA,Comedy,Vanya on 42nd Street,PG,119,7.5,3622,1994
British Columbia Film Commission,Canada,Drama,Double Happiness,PG-13,87,7.2,961,1994
Can I Watch,USA,Drama,Go Fish,R,83,5.6,1742,1994
Orion Pictures,USA,Comedy,"Car 54, Where Are You?",PG-13,89,2.4,4018,1994
Good Machine,USA,Drama,River of Grass,NOT RATED,76,6.5,626,1994
British Screen Productions,UK,Biography,Tom & Viv,PG-13,100,6.5,1357,1994
Kino Link Company,USA,Drama,Nadja,R,93,6,2586,1994
Ima Films,France,Drama,Wild Reeds,NOT RATED,110,7.6,4397,1994
Channel Four Films,UK,Drama,Ladybird Ladybird,R,101,7.5,2568,1994
Walt Disney Pictures,USA,Adventure,Squanto: A Warrior's Tale,PG,102,6.1,939,1994
Cineplex-Odeon Films,Canada,Comedy,Dance Me Outside,R,84,7.3,957,1994
Canal Plus,Italy,Comedy,The Monster,R,112,7.5,8177,1994
Abbas Kiarostami Productions,Iran,Drama,Through the Olive Trees,G,103,7.8,4232,1994
Canal+,France,Adventure,"Little Indian, Big City",PG,100,5.6,3362,1994
Metro-Goldwyn-Mayer (MGM),USA,Comedy,Clean Slate,PG-13,107,5.7,3264,1994
Aurora Productions LLC,USA,Comedy,Holy Matrimony,PG-13,93,5.1,1113,1994
Neue Constantin Film,Germany,Comedy,Maybe... Maybe Not,R,93,6.6,5089,1994
Capitol Films,South Africa,Comedy,A Good Man in Africa,R,94,5,2032,1994
Arena Films,France,Drama,I Can't Sleep,UNRATED,110,7,894,1994
Canal+,France,Action,La fille de d'Artagnan,R,125,5.9,2764,1994
Cecchi Gori Pictures,USA,Crime,Se7en,R,127,8.6,1134655,1995
TriStar Pictures,USA,Action,Jumanji,PG,104,6.9,232339,1995
Icon Entertainment International,USA,Biography,Braveheart,R,178,8.4,807256,1995
PolyGram Filmed Entertainment,USA,Crime,The Usual Suspects,R,106,8.6,814470,1995
Warner Bros.,USA,Action,Heat,R,170,8.2,470080,1995
Paramount Pictures,USA,Comedy,Clueless,PG-13,97,6.8,136975,1995
Walt Disney Pictures,USA,Animation,Pocahontas,G,81,6.7,133708,1995
Universal Pictures,USA,Mystery,Twelve Monkeys,R,129,8,500403,1995
Pixar Animation Studios,USA,Animation,Toy Story,G,81,8.3,694113,1995
Warner Bros.,USA,Action,Batman Forever,PG-13,121,5.4,203965,1995
Eon Productions,UK,Action,GoldenEye,PG-13,130,7.2,209588,1995
Universal Pictures,France,Crime,Casino,R,178,8.2,367532,1995
Guys Upstairs,USA,Drama,Kids,UNRATED,91,7,63097,1995
Carolco Pictures,France,Drama,Showgirls,NC-17,128,4.7,53325,1995
Universal Pictures,USA,Comedy,Casper,PG,100,6,94596,1995
Kôdansha,Japan,Animation,Ghost in the Shell,NOT RATED,83,8,101716,1995
New Line Cinema,USA,Comedy,Friday,R,91,7.3,82224,1995
Castle Rock Entertainment,USA,Drama,Before Sunrise,R,101,8.1,207167,1995
New Line Cinema,USA,Action,Mortal Kombat,PG-13,101,5.8,87007,1995
Universal Pictures,USA,Adventure,Apollo 13,PG,140,7.6,224635,1995
United Artists,USA,Comedy,Hackers,PG-13,107,6.2,57821,1995
Don Simpson/Jerry Bruckheimer Films,USA,Action,Bad Boys,R,119,6.8,186965,1995
Cinergi Pictures Entertainment,USA,Action,Die Hard with a Vengeance,R,128,7.6,317792,1995
Universal Pictures,USA,Comedy,Billy Madison,PG-13,89,6.4,112423,1995
Universal Pictures,USA,Action,Waterworld,PG-13,135,6.1,153742,1995
Paramount Pictures,USA,Action,Congo,PG-13,109,5.1,36705,1995
Columbia Pictures Corporation,USA,Drama,Sense and Sensibility,PG,136,7.7,84237,1995
Metro-Goldwyn-Mayer (MGM),USA,Comedy,Get Shorty,R,105,6.9,66364,1995
Universal Pictures,USA,Comedy,The American President,PG-13,114,6.8,45293,1995
Trilogy Entertainment Group,USA,Action,Tank Girl,R,104,5.3,26302,1995
Caravan Pictures,USA,Drama,Powder,PG-13,111,6.6,25582,1995
Metro-Goldwyn-Mayer (MGM),USA,Action,Species,R,108,5.8,64667,1995
Club d'Investissement Média,France,Fantasy,The City of Lost Children,R,112,7.7,58437,1995
Lumiere Pictures,France,Drama,Adiós a Las Vegas,R,111,7.6,99239,1995
New Line Cinema,USA,Biography,The Basketball Diaries,R,102,7.3,86655,1995
Columbia Pictures Corporation,USA,Action,Desperado,R,104,7.2,147918,1995
Caravan Pictures,USA,Comedy,Heavy Weights,PG,100,6.7,21136,1995
Monarchy Enterprises B.V.,USA,Comedy,Empire Records,PG-13,90,6.7,40911,1995
